Origin,Destination,Cost_FTL,Cost_LTL
FAC001,Albuquerque,1960,170
FAC001,Arlington,2400.425241,211.4971806
FAC001,Atlanta,2633.031869,264.6404496
FAC001,Austin,2711.439116,242.8812544
FAC001,Baltimore,5265.208527,429.1736717
FAC001,Boston,6026.789469,493.8451065
FAC001,Charlotte,2840.9046,288.9814866
FAC001,Chicago,2284.888023,234.0701817
FAC001,Cleveland,2769.782055,294.1787766
FAC001,Colorado Springs,1590,130
FAC001,Columbus,2667.975871,281.5586446
FAC001,Dallas,2382.311352,209.6693276
FAC001,Denver,800.0846962,50.01049914
FAC001,Detroit,2681.158564,283.192802
FAC001,El Paso,2570,220
FAC001,Fort Worth,2370.776839,208.5053924
FAC001,Fresno,3850,330
FAC001,Houston,2814.545965,253.2856551
FAC001,Indianapolis,2408.899759,249.4429656
FAC001,Jacksonville,3081.224657,317.1219711
FAC001,Kansas City,1693.834287,160.8017824
FAC001,Las Vegas,3010,230
FAC001,Long Beach,4530,340
FAC001,Los Angeles,4060,290
FAC001,Louisville,2449.569864,254.4845267
FAC001,Memphis,2227.226155,217.1222791
FAC001,Mesa,2910,210
FAC001,Miami,3494.303932,365.4918456
FAC001,Milwaukee,2345.482943,241.5816692
FAC001,Minneapolis,2155.670545,218.0520819
FAC001,Nashville,2308.419524,226.6296867
FAC001,New Orleans,2630.823902,264.3819058
FAC001,New York,5523.510003,451.1079483
FAC001,Oakland,4660,350
FAC001,Oklahoma City,2018.567164,172.964295
FAC001,Omaha,2310,190
FAC001,Philadelphia,5395.401729,440.2293332
FAC001,Phoenix,3320,240
FAC001,Portland,4080,330
FAC001,Raleigh,4067.662413,387.9806817
FAC001,Sacramento,4080,320
FAC001,San Antonio,2855.506065,257.4188944
FAC001,San Diego,4030,300
FAC001,San Francisco,4880,370
FAC001,San Jose,4380,350
FAC001,Seattle,4880,360
FAC001,Tucson,3020,250
FAC001,Tulsa,2044.106594,175.5414512
FAC001,Virginia Beach,4257.951284,407.6626298
FAC001,Washington,5256.054731,428.3963556
FAC001,Wichita,2240,180
FAC002,Albuquerque,2859.210486,233.6898636
FAC002,Arlington,2440,180
FAC002,Atlanta,2240,160
FAC002,Austin,2870,220
FAC002,Baltimore,3870,320
FAC002,Boston,5290,390
FAC002,Charlotte,2570,210
FAC002,Chicago,2750,200
FAC002,Cleveland,3050,250
FAC002,Colorado Springs,2506.151423,261.4985087
FAC002,Columbus,2470,190
FAC002,Dallas,2590,190
FAC002,Denver,2426.70989,251.650751
